name,type,start_time,duration,"mosi","miso"
"SPI","disable",0.105211896,4e-09,,
"SPI","enable",0.108901008,4.00000002e-09,,
"SPI","result",0.108902532,0.00029994,0x00,0xA5
"SPI","result",0.109249348,0.000288868,0x00,0x85
"SPI","result",0.109564632,0.000259992,0x00,0x00
"SPI","result",0.109851036,0.000284944,0x00,0x7F
"SPI","disable",0.110200212,3.99999999e-09,,
"SPI","enable",0.113889092,4e-09,,
"SPI","result",0.113890616,0.00032596,0x00,0xA5
"SPI","result",0.114263452,0.000288888,0x00,0x85
"SPI","result",0.114578756,0.000260024,0x00,0x00
"SPI","result",0.1148652,0.000284996,0x00,0x7F
"SPI","disable",0.115214428,4e-09,,
"SPI","enable",0.118877788,4e-09,,
"SPI","result",0.118879316,0.00032584,0x00,0xA5
"SPI","result",0.119252036,0.00028876,0x00,0x85
"SPI","result",0.119567216,0.00026006,0x00,0x00
"SPI","result",0.119853692,0.000284984,0x00,0x7F
"SPI","disable",0.120202912,4e-09,,
"SPI","enable",0.123865872,4e-09,,
"SPI","result",0.123867396,0.000325992,0x00,0xA5
"SPI","result",0.124240272,0.0002629,0x00,0x85
"SPI","result",0.124555592,0.000260012,0x00,0x00
"SPI","result",0.124842024,0.00028484,0x00,0x7F
"SPI","disable",0.125191104,4e-09,,
"SPI","enable",0.12885456,3.99999999e-09,,
"SPI","result",0.128856084,0.000325996,0x00,0xA5
"SPI","result",0.12922896,0.000262904,0x00,0x85
"SPI","result",0.129518284,0.000286016,0x00,0x00
"SPI","result",0.129830716,0.000258984,0x00,0x7F
"SPI","disable",0.130179928,4.00000002e-09,,
"SPI","enable",0.133842592,4.00000002e-09,,
"SPI","result",0.133844116,0.000325992,0x00,0xA5
"SPI","result",0.13421698,0.000262908,0x00,0x85
"SPI","result",0.134506308,0.000286036,0x00,0x00
"SPI","result",0.134818764,0.000258988,0x00,0x7F
"SPI","disable",0.135141992,3.99999999e-09,,
"SPI","enable",0.138830876,3.99999999e-09,,
"SPI","result",0.138832404,0.00029996,0x00,0xA5
"SPI","result",0.13917924,0.000288872,0x00,0x85
"SPI","result",0.139494528,0.00028602,0x00,0x00
"SPI","result",0.139806964,0.000258976,0x00,0x7F
"SPI","disable",0.140130176,3.99999999e-09,,
"SPI","enable",0.14381898,3.99999999e-09,,
"SPI","result",0.143820504,0.00030434,0x00,0xA5
"SPI","result",0.144171732,0.000288916,0x00,0x85
"SPI","result",0.144487064,0.00026002,0x00,0x00
"SPI","result",0.144799504,0.000258988,0x00,0x7F
"SPI","disable",0.145122736,3.99999999e-09,,
"SPI","enable",0.148807492,3.99999999e-09,,
"SPI","result",0.148809016,0.000325972,0x00,0xA5
"SPI","result",0.149181864,0.00028888,0x00,0x85
"SPI","result",0.14949716,0.000260012,0x00,0x00
"SPI","result",0.149783588,0.000284972,0x00,0x7F
"SPI","disable",0.150132788,4.00000002e-09,,
"SPI","enable",0.153795432,3.99999999e-09,,
"SPI","result",0.153796956,0.000325896,0x00,0xA5
"SPI","result",0.154169728,0.000288708,0x00,0x85
"SPI","result",0.154484848,0.000260004,0x00,0x00
"SPI","result",0.154771264,0.000284964,0x00,0x7F
"SPI","disable",0.155120464,3.99999999e-09,,
"SPI","enable",0.158783644,3.99999999e-09,,
"SPI","result",0.158785168,0.000325944,0x00,0xA5
"SPI","result",0.159157988,0.000262888,0x00,0x85
"SPI","result",0.159473212,0.000259992,0x00,0x00
"SPI","result",0.15975962,0.000284948,0x00,0x7F
"SPI","disable",0.160108792,3.99999999e-09,,
"SPI","enable",0.163771616,4.00000002e-09,,
"SPI","result",0.16377314,0.00032598,0x00,0xA5
"SPI","result",0.164146,0.000262896,0x00,0x85
"SPI","result",0.164435316,0.000285948,0x00,0x00
"SPI","result",0.164747684,0.000285008,0x00,0x7F
"SPI","disable",0.165096924,3.99999999e-09,,
"SPI","enable",0.168759924,3.99999999e-09,,
"SPI","result",0.168761452,0.000325916,0x00,0xA5
"SPI","result",0.169134256,0.000262916,0x00,0x85
"SPI","result",0.169423592,0.000286028,0x00,0x00
"SPI","result",0.169736032,0.000258984,0x00,0x7F
"SPI","disable",0.170059256,3.99999999e-09,,
"SPI","enable",0.173748152,4.00000002e-09,,
"SPI","result",0.173749676,0.000299976,0x00,0xA5
"SPI","result",0.174096532,0.000288892,0x00,0x85
"SPI","result",0.17441184,0.000285968,0x00,0x00
"SPI","result",0.17472422,0.00025896,0x00,0x7F
"SPI","disable",0.175047408,4.00000002e-09,,
"SPI","enable",0.178736548,3.99999999e-09,,
"SPI","result",0.178738072,0.000299996,0x00,0xA5
"SPI","result",0.179084952,0.000288916,0x00,0x85
"SPI","result",0.179400284,0.000260004,0x00,0x00
"SPI","result",0.179712556,0.000258988,0x00,0x7F
"SPI","disable",0.180035784,3.99999999e-09,,
"SPI","enable",0.183724924,3.99999999e-09,,
"SPI","result",0.183752448,0.000299988,0x00,0xA5
"SPI","result",0.184099316,0.0002889,0x00,0x85
"SPI","result",0.184414636,0.000260016,0x00,0x00
"SPI","result",0.184701072,0.000284976,0x00,0x7F
"SPI","disable",0.185050284,3.99999999e-09,,
"SPI","enable",0.188713232,3.99999999e-09,,
"SPI","result",0.18871476,0.000325836,0x00,0xA5
"SPI","result",0.189087476,0.000288744,0x00,0x85
"SPI","result",0.189402636,0.000259996,0x00,0x00
"SPI","result",0.189689048,0.00028496,0x00,0x7F
"SPI","disable",0.190038236,3.99999999e-09,,
"SPI","enable",0.193701312,4.00000005e-09,,
"SPI","result",0.193702836,0.000325784,0x00,0xA5
"SPI","result",0.194075492,0.000262884,0x00,0x85
"SPI","result",0.194390788,0.000259984,0x00,0x00
"SPI","result",0.194677184,0.00028494,0x00,0x7F
"SPI","disable",0.195026352,4.00000005e-09,,
"SPI","enable",0.198689332,3.99999999e-09,,
"SPI","result",0.19869086,0.000325904,0x00,0xA5
"SPI","result",0.199063644,0.0002629,0x00,0x85
"SPI","result",0.199352964,0.000286028,0x00,0x00
"SPI","result",0.199665412,0.000285,0x00,0x7F
"SPI","disable",0.20001464,4.00000002e-09,,
"SPI","enable",0.203677456,3.99999999e-09,,
"SPI","result",0.20367898,0.00032598,0x00,0xA5
"SPI","result",0.204051836,0.000262912,0x00,0x85
"SPI","result",0.204341164,0.000285884,0x00,0x00
"SPI","result",0.204653464,0.000258996,0x00,0x7F
"SPI","disable",0.204976692,4.00000002e-09,,
"SPI","enable",0.208665756,3.99999999e-09,,
"SPI","result",0.20866728,0.000299996,0x00,0xA5
"SPI","result",0.209014156,0.000288756,0x00,0x85
"SPI","result",0.209329328,0.000286,0x00,0x00
"SPI","result",0.209641744,0.00025898,0x00,0x7F
"SPI","disable",0.209964956,4.00000002e-09,,
"SPI","enable",0.213654016,3.99999999e-09,,
"SPI","result",0.21365554,0.000299984,0x00,0xA5
"SPI","result",0.214002404,0.00028892,0x00,0x85
"SPI","result",0.214317744,0.000260024,0x00,0x00
"SPI","result",0.214630192,0.000259008,0x00,0x7F
"SPI","disable",0.21495344,3.99999999e-09,,
"SPI","enable",0.218668604,3.99999999e-09,,
"SPI","result",0.218670128,0.000299976,0x00,0xA5
"SPI","result",0.21901698,0.000288884,0x00,0x85
"SPI","result",0.219332276,0.000264384,0x00,0x00
"SPI","result",0.219623076,0.00028498,0x00,0x7F
"SPI","disable",0.219972296,4.00000002e-09,,
"SPI","enable",0.223631192,4.00000002e-09,,
"SPI","result",0.22363272,0.00032596,0x00,0xA5
"SPI","result",0.22400556,0.000288728,0x00,0x85
"SPI","result",0.224320704,0.000259984,0x00,0x00
"SPI","result",0.224607104,0.000284948,0x00,0x7F
"SPI","disable",0.224956284,3.99999999e-09,,
"SPI","enable",0.228619212,4.00000002e-09,,
"SPI","result",0.228620736,0.000325936,0x00,0xA5
"SPI","result",0.228993544,0.00026288,0x00,0x85
"SPI","result",0.229308836,0.000260008,0x00,0x00
"SPI","result",0.22959526,0.000284976,0x00,0x7F
"SPI","disable",0.229944476,3.99999999e-09,,
"SPI","enable",0.233607212,3.99999999e-09,,
"SPI","result",0.233608736,0.000325968,0x00,0xA5
"SPI","result",0.233981584,0.000262884,0x00,0x85
"SPI","result",0.234270884,0.000286012,0x00,0x00
"SPI","result",0.234583312,0.000284884,0x00,0x7F
"SPI","disable",0.234932428,4.00000002e-09,,
"SPI","enable",0.238595032,4.00000002e-09,,
"SPI","result",0.23859656,0.000325904,0x00,0xA5
"SPI","result",0.23896934,0.000262868,0x00,0x85
"SPI","result",0.239258624,0.000285948,0x00,0x00
"SPI","result",0.23957098,0.000258928,0x00,0x7F
"SPI","disable",0.239920132,4.00000002e-09,,
"SPI","enable",0.243582548,4.00000002e-09,,
"SPI","result",0.243584072,0.000299952,0x00,0xA5
"SPI","result",0.243930892,0.000288864,0x00,0x85
"SPI","result",0.244246168,0.000285992,0x00,0x00
"SPI","result",0.244558572,0.000258952,0x00,0x7F
"SPI","disable",0.244881756,4.00000002e-09,,
"SPI","enable",0.248570532,3.99999999e-09,,
"SPI","result",0.248572056,0.000299952,0x00,0xA5
"SPI","result",0.248918884,0.000288724,0x00,0x85
"SPI","result",0.24923402,0.000259996,0x00,0x00
"SPI","result",0.249546432,0.000258968,0x00,0x7F
"SPI","disable",0.249869632,4.00000002e-09,,
"SPI","enable",0.253584596,3.99999999e-09,,
"SPI","result",0.25358612,0.000299984,0x00,0xA5
"SPI","result",0.25393298,0.000288876,0x00,0x85
"SPI","result",0.254248272,0.000260028,0x00,0x00
"SPI","result",0.25453472,0.000284984,0x00,0x7F
"SPI","disable",0.25488394,4.00000002e-09,,
"SPI","enable",0.258572424,3.99999999e-09,,
"SPI","result",0.258573948,0.000325944,0x00,0xA5
"SPI","result",0.258946764,0.000288732,0x00,0x85
"SPI","result",0.259261912,0.00026,0x00,0x00
"SPI","result",0.259548328,0.00028484,0x00,0x7F
"SPI","disable",0.259897408,3.99999999e-09,,
"SPI","enable",0.26356072,4.00000005e-09,,
"SPI","result",0.263562244,0.000325948,0x00,0xA5
"SPI","result",0.263935064,0.000288872,0x00,0x85
"SPI","result",0.264250348,0.000259984,0x00,0x00
"SPI","result",0.264536748,0.00028482,0x00,0x7F
"SPI","disable",0.264885804,3.99999999e-09,,
"SPI","enable",0.268548732,3.99999999e-09,,
"SPI","result",0.26855026,0.000325996,0x00,0xA5
"SPI","result",0.26892314,0.0002629,0x00,0x85
"SPI","result",0.269212456,0.000285868,0x00,0x00
"SPI","result",0.269524744,0.000284844,0x00,0x7F
"SPI","disable",0.269873828,3.99999999e-09,,
"SPI","enable",0.273537244,4.00000005e-09,,
"SPI","result",0.273538768,0.000325824,0x00,0xA5
"SPI","result",0.273911472,0.000262876,0x00,0x85
"SPI","result",0.274200764,0.000285992,0x00,0x00
"SPI","result",0.274513172,0.000258964,0x00,0x7F
"SPI","disable",0.27486236,4.00000005e-09,,
"SPI","enable",0.278524988,4.0000001e-09,,
"SPI","result",0.278526512,0.00029996,0x00,0xA5
"SPI","result",0.278899352,0.000262868,0x00,0x85
"SPI","result",0.279188632,0.00028598,0x00,0x00
"SPI","result",0.279501036,0.000258992,0x00,0x7F
"SPI","disable",0.279824264,3.99999999e-09,,
"SPI","enable",0.283513288,3.99999999e-09,,
"SPI","result",0.283514816,0.000300028,0x00,0xA5
"SPI","result",0.283861732,0.000288932,0x00,0x85
"SPI","result",0.284177088,0.00028604,0x00,0x00
"SPI","result",0.284489548,0.000258976,0x00,0x7F
"SPI","disable",0.28481276,3.99999999e-09,,
"SPI","enable",0.288501816,3.99999999e-09,,
"SPI","result",0.288503344,0.000300032,0x00,0xA5
"SPI","result",0.288850264,0.000288936,0x00,0x85
"SPI","result",0.289165616,0.000260032,0x00,0x00
"SPI","result",0.289452068,0.000285024,0x00,0x7F
"SPI","disable",0.289801336,4.00000005e-09,,
"SPI","enable",0.293490792,3.99999999e-09,,
"SPI","result",0.29349232,0.000325988,0x00,0xA5
"SPI","result",0.293865184,0.00028888,0x00,0x85
"SPI","result",0.29418048,0.00026002,0x00,0x00
"SPI","result",0.29446692,0.000284984,0x00,0x7F
"SPI","disable",0.294816144,3.99999999e-09,,
"SPI","enable",0.29847926,3.99999999e-09,,
"SPI","result",0.298480788,0.000325988,0x00,0xA5
"SPI","result",0.298853652,0.000288904,0x00,0x85
"SPI","result",0.299168976,0.000260052,0x00,0x00
"SPI","result",0.299455448,0.000284936,0x00,0x7F
"SPI","disable",0.299804624,3.99999999e-09,,
"SPI","enable",0.30346796,3.99999999e-09,,
"SPI","result",0.303469484,0.000325976,0x00,0xA5
"SPI","result",0.30384234,0.000262916,0x00,0x85
"SPI","result",0.304131676,0.000286036,0x00,0x00
"SPI","result",0.304444132,0.000285016,0x00,0x7F
"SPI","disable",0.304793396,4.00000005e-09,,
"SPI","enable",0.30845654,3.99999999e-09,,
"SPI","result",0.308458064,0.000325808,0x00,0xA5
"SPI","result",0.308830748,0.000262872,0x00,0x85
"SPI","result",0.309120036,0.000286016,0x00,0x00
"SPI","result",0.309432472,0.000259004,0x00,0x7F
"SPI","disable",0.309781648,3.99999999e-09,,
"SPI","enable",0.313445264,3.99999999e-09,,
"SPI","result",0.313446792,0.000299996,0x00,0xA5
"SPI","result",0.313819524,0.000262916,0x00,0x85
"SPI","result",0.314108856,0.000286004,0x00,0x00
"SPI","result",0.314421276,0.000258988,0x00,0x7F
"SPI","disable",0.314744492,3.99999999e-09,,
"SPI","enable",0.31843366,3.99999999e-09,,
"SPI","result",0.318435184,0.000299984,0x00,0xA5
"SPI","result",0.318782052,0.000288888,0x00,0x85
"SPI","result",0.31909736,0.00028604,0x00,0x00
"SPI","result",0.31940982,0.000258992,0x00,0x7F
"SPI","disable",0.319733048,4.00000005e-09,,
"SPI","enable",0.323422164,3.99999999e-09,,
"SPI","result",0.323423688,0.000299992,0x00,0xA5
"SPI","result",0.323770568,0.000288776,0x00,0x85
"SPI","result",0.324085764,0.000260028,0x00,0x00
"SPI","result",0.324372212,0.000284852,0x00,0x7F
"SPI","disable",0.324721304,3.99999999e-09,,
"SPI","enable",0.328411104,3.99999999e-09,,
"SPI","result",0.328412628,0.000326,0x00,0xA5
"SPI","result",0.328785508,0.000288916,0x00,0x85
"SPI","result",0.329100844,0.000260036,0x00,0x00
"SPI","result",0.3293873,0.000284988,0x00,0x7F
"SPI","disable",0.329736528,4.00000005e-09,,
"SPI","enable",0.333399612,4.00000005e-09,,
"SPI","result",0.333401136,0.00032588,0x00,0xA5
"SPI","result",0.3337739,0.000288924,0x00,0x85
"SPI","result",0.334089244,0.000260028,0x00,0x00
"SPI","result",0.334375688,0.000284984,0x00,0x7F
"SPI","disable",0.334724912,4.00000005e-09,,
"SPI","enable",0.338388004,3.99999999e-09,,
"SPI","result",0.338389528,0.000325968,0x00,0xA5
"SPI","result",0.338762376,0.000262884,0x00,0x85
"SPI","result",0.339051676,0.000286024,0x00,0x00
"SPI","result",0.33936412,0.000285,0x00,0x7F
"SPI","disable",0.339713364,3.99999999e-09,,
"SPI","enable",0.343376436,3.99999999e-09,,
"SPI","result",0.343377964,0.000325984,0x00,0xA5
"SPI","result",0.343750836,0.000262912,0x00,0x85
"SPI","result",0.344040164,0.000285868,0x00,0x00
"SPI","result",0.344352452,0.000258996,0x00,0x7F
"SPI","disable",0.34470154,4.00000005e-09,,
"SPI","enable",0.348365096,3.99999999e-09,,
"SPI","result",0.34836662,0.000300008,0x00,0xA5
"SPI","result",0.348739364,0.00026294,0x00,0x85
"SPI","result",0.349028724,0.000286052,0x00,0x00
"SPI","result",0.349341196,0.000259008,0x00,0x7F
"SPI","disable",0.349664448,4.00000005e-09,,
"SPI","enable",0.353353596,3.99999999e-09,,
"SPI","result",0.35335512,0.000299972,0x00,0xA5
"SPI","result",0.353701972,0.000288748,0x00,0x85
"SPI","result",0.354017136,0.000286008,0x00,0x00
"SPI","result",0.35432956,0.000259012,0x00,0x7F
"SPI","disable",0.354652812,3.99999999e-09,,
"SPI","enable",0.358342272,3.99999999e-09,,
"SPI","result",0.3583438,0.000299984,0x00,0xA5
"SPI","result",0.358690664,0.000288888,0x00,0x85
"SPI","result",0.359005968,0.000260016,0x00,0x00
"SPI","result",0.3592924,0.000284964,0x00,0x7F
"SPI","disable",0.359641592,3.99999999e-09,,
"SPI","enable",0.363330728,4.00000005e-09,,
"SPI","result",0.363332252,0.000326036,0x00,0xA5
"SPI","result",0.363705168,0.000288768,0x00,0x85
"SPI","result",0.364020356,0.000260036,0x00,0x00
"SPI","result",0.364306812,0.000285,0x00,0x7F
"SPI","disable",0.364656052,3.99999999e-09,,
"SPI","enable",0.368319124,3.99999999e-09,,
"SPI","result",0.368320652,0.000326,0x00,0xA5
"SPI","result",0.368693532,0.000288904,0x00,0x85
"SPI","result",0.369008856,0.000260024,0x00,0x00
"SPI","result",0.3692953,0.000284996,0x00,0x7F
"SPI","disable",0.369644536,3.99999999e-09,,
"SPI","enable",0.373307924,3.99999999e-09,,
"SPI","result",0.373309452,0.00032582,0x00,0xA5
"SPI","result",0.373682148,0.000262896,0x00,0x85
"SPI","result",0.373971464,0.000286036,0x00,0x00
"SPI","result",0.374283916,0.000285004,0x00,0x7F
"SPI","disable",0.374633164,3.99999999e-09,,
"SPI","enable",0.37829634,4.00000005e-09,,
"SPI","result",0.378297868,0.000325796,0x00,0xA5
"SPI","result",0.378670544,0.000262892,0x00,0x85
"SPI","result",0.378959852,0.000285992,0x00,0x00
"SPI","result",0.37927226,0.000259,0x00,0x7F
"SPI","disable",0.379621368,3.99999999e-09,,
"SPI","enable",0.383285404,4.00000005e-09,,
"SPI","result",0.383286932,0.000300012,0x00,0xA5
"SPI","result",0.383659688,0.000262948,0x00,0x85
"SPI","result",0.38394906,0.000286056,0x00,0x00
"SPI","result",0.384261532,0.000259012,0x00,0x7F
"SPI","disable",0.384584788,3.99999999e-09,,
"SPI","enable",0.38827396,4.00000005e-09,,
"SPI","result",0.388275484,0.000299992,0x00,0xA5
"SPI","result",0.38862236,0.000288752,0x00,0x85
"SPI","result",0.388937528,0.000285964,0x00,0x00
"SPI","result",0.389249912,0.000258996,0x00,0x7F
"SPI","disable",0.389573148,3.99999999e-09,,
"SPI","enable",0.393262496,3.99999999e-09,,
"SPI","result",0.393264024,0.000299996,0x00,0xA5
"SPI","result",0.393610896,0.000288908,0x00,0x85
"SPI","result",0.393926224,0.00026004,0x00,0x00
"SPI","result",0.39421268,0.000285016,0x00,0x7F
"SPI","disable",0.39456194,3.99999999e-09,,
"SPI","enable",0.398251248,4.00000005e-09,,
"SPI","result",0.398252776,0.000325996,0x00,0xA5
"SPI","result",0.398625648,0.00028874,0x00,0x85
"SPI","result",0.3989408,0.00026002,0x00,0x00
"SPI","result",0.399227236,0.000284972,0x00,0x7F
"SPI","disable",0.399576436,3.99999999e-09,,
"SPI","enable",0.403239488,3.99999999e-09,,
"SPI","result",0.403241016,0.00032582,0x00,0xA5
"SPI","result",0.403613712,0.000288884,0x00,0x85
"SPI","result",0.403929012,0.000260008,0x00,0x00
"SPI","result",0.404215436,0.00028488,0x00,0x7F
"SPI","disable",0.404564552,3.99999999e-09,,
"SPI","enable",0.408227864,3.99999999e-09,,
"SPI","result",0.408229388,0.000330244,0x00,0xA5
"SPI","result",0.408606512,0.000262872,0x00,0x85
"SPI","result",0.408921792,0.00026,0x00,0x00
"SPI","result",0.409208212,0.0002849,0x00,0x7F
"SPI","disable",0.40955734,3.99999999e-09,,
"SPI","enable",0.413215716,4.00000005e-09,,
"SPI","result",0.41321724,0.000325796,0x00,0xA5
"SPI","result",0.413589916,0.000262888,0x00,0x85
"SPI","result",0.413879224,0.000286016,0x00,0x00
"SPI","result",0.414191656,0.000258976,0x00,0x7F
"SPI","disable",0.414540788,3.99999999e-09,,
"SPI","enable",0.41820432,4.00000005e-09,,
"SPI","result",0.418205844,0.00032602,0x00,0xA5
"SPI","result",0.41857874,0.000262924,0x00,0x85
"SPI","result",0.418868084,0.000286048,0x00,0x00
"SPI","result",0.419180552,0.000259016,0x00,0x7F
"SPI","disable",0.419503812,3.99999999e-09,,
"SPI","enable",0.4231927,3.99999999e-09,,
"SPI","result",0.423194224,0.000299984,0x00,0xA5
"SPI","result",0.423541088,0.000288736,0x00,0x85
"SPI","result",0.42385624,0.00028602,0x00,0x00
"SPI","result",0.42416868,0.000258984,0x00,0x7F
"SPI","disable",0.424491896,3.99999999e-09,,
"SPI","enable",0.428180924,3.99999999e-09,,
"SPI","result",0.428182448,0.0003,0x00,0xA5
"SPI","result",0.428529332,0.0002889,0x00,0x85
"SPI","result",0.428844648,0.000260012,0x00,0x00
"SPI","result",0.42915708,0.000258976,0x00,0x7F
"SPI","disable",0.429480296,3.99999999e-09,,
"SPI","enable",0.433169212,3.99999999e-09,,
